id,type,source,target
906574,\,209016,208888
906575,/,208888,209016
906576,\,209017,208888
906577,/,208888,209017
906578,\,209008,208888
906579,/,208888,209008
906580,\,209007,208888
906581,/,208888,209007
906582,\,209019,208888
906583,/,208888,209019
906584,\,209009,208888
906585,/,208888,209009
906586,\,209020,208888
906587,/,208888,209020
906588,\,209132,208888
906589,/,208888,209132
906590,\,209131,208888
906591,/,208888,209131
906592,\,209130,208888
906593,/,208888,209130
906594,\,209059,208888
906595,/,208888,209059
906596,\,209057,208888
906597,/,208888,209057
906598,\,209058,208888
906599,/,208888,209058
906600,\,209055,208888
906601,/,208888,209055
906602,\,209056,208888
906603,/,208888,209056
906604,\,209063,208888
906605,/,208888,209063
906606,\,209064,208888
906607,/,208888,209064
906608,\,209062,208888
906609,/,208888,209062
906610,\,209066,208888
906611,/,208888,209066
906612,\,209060,208888
906613,/,208888,209060
906614,\,209061,208888
906615,/,208888,209061
906616,\,208997,208888
906617,/,208888,208997
906618,\,208996,208888
906619,/,208888,208996
