136797,मीमांसामकरन्द,n,n-----m--a,,,,/miː.mɑː̃.sɑː.mə.kə.ɹən.d̪ə/,मीमांसा॔-मकरन्द,0
302369,,मूकाण्डज,a,ap----a--a,,,,/muː.kɑːɳ.ɖə.d͡ʑə/,मूकाण्डज,0
302370,,मूकीकृ,v,v----a--8-,,,,/muː.kiː.kɹ̩/,मूकी-कृ,0
302371,,मूल्,v,v----a--1- v----d--1-,,,,/muːl/,मूल्,0
302372,137542,मूल,n,n-----n--a,,,n-----f--ā=मूलआ n-----f--ī=मूलई,/muː.lə/,मू॔ल,0
302373,137544,मूल,n,n-----m--a,,,,/muː.lə/,मू॔ल,0
302374,137547,मूल,a,ap----a--a,,ap----f--ā=>ा,,/muː.lə/,मू॔ल,0
302378,137557,मूलबन्ध,a,ap----a--a,,,,/muː.lə.bən.d̪ʰə/,मू॔ल-बन्ध,0
302379,137558,मूलबन्ध,n,n-----m--a,,,,/muː.lə.bən.d̪ʰə/,मू॔ल-बन्ध,0
302380,,मूलबर्हण,a,ap----a--a,,ap----f--ī=>ी,,/muː.lə.ˈbəɹ.ɦə.ɳə/,मू॔ल-ब॔र्हण,0
302381,,मूलबर्हण,n,n-----n--a,,,,/muː.lə.ˈbəɹ.ɦə.ɳə/,मू॔ल-ब॔र्हण,0
302383,136513,मूलभद्र,n,n-----m--a,,,,/muː.lə.ˈbʱəd̪.ɹə/,मू॔ल-भद्र,0
302384,,मूलभव,a,ap----a--a,,ap----f--ā=>ा,,/muː.lə.bʱə.ʋə/,मू॔ल-भव,0
302385,136512,मूलभट्टप्रयोग,n,n-----m--a,,,,/muː.lə.ˈbʱəʈ.ˈʈəp.ɹə.joː.gə/,मू॔ल-भट्ट-प्रयोग,0
302386,136515,मूलभाग,n,n-----m--a,,,,/muː.lə.bʱɑː.gə/,मू॔ल-भाग,0
302387,136516,मूलभार,n,n-----m--a,,,,/muː.lə.bʱɑː.ɹə/,मू॔ल-भार,0
302388,136517,मूलभावप्रकाशिका,n,n-----f--ā,,,,/muː.lə.bʱɑː.ˈʋəp.ɹə.kɑː.ɕi.kɑː/,मू॔ल-भाव-प्रकाशिका,0
302389,,मूलभूत,a,ap----a--a,,,,/muː.lə.bʱuː.t̪ə/,मू॔ल-भूत,0
302390,136519,मूलभृत्य,n,n-----m--a,,,,/muː.lə.ˈbʱɹ̩t̪.jə/,मू॔ल-भृत्य,0
302391,,मूलच्छेद,n,n-----m--a,,,,/muː.ˈlət͡ɕ.t͡ɕʰeː.d̪ə/,मू॔ल-च्छेद,0
302392,136486,मूलच्छिन्न,a,ap----a--a,,ap----f--ā=>ा,,/muː.ˈlət͡ɕ.t͡ɕʰin.nə/,मू॔ल-च्छिन्न,0
302393,136494,मूलदेव,n,n-----m--a,,,,/muː.lə.d̪eː.ʋə/,मू॔ल-देव,0
302394,,मूलधन,n,n-----n--a,,,,/muː.lə.d̪ʰə.nə/,मू॔ल-धन,0
302395,136497,मूलधातु,n,n-----m--u,,,,/muː.lə.d̪ʰɑː.t̪u/,मू॔ल-धातु,0
302396,136495,मूलद्रव्य,n,n-----n--a,,,,/muː.ˈləd̪.ˈɹəʋ.jə/,मू॔ल-द्रव्य,0
302397,137553,मूलद्वार,n,n-----n--a,,,,/muː.ˈləd̪.ʋɑː.ɹə/,मू॔ल-द्वार,0
