,+c,464661,226867
1380692,-c,235117,457055
1380693,+c,457055,235131
1380694,-c,235131,457055
1380695,+c,457055,235139
1380696,-c,235139,457055
1380697,+c,457055,235147
1380698,-c,235147,457055
1380699,+c,457055,235141
1380700,-c,235141,457055
1380701,+c,457055,235158
1380702,-c,235158,457055
1380703,+c,457055,235159
1380704,-c,235159,457055
1380705,+c,259402,235159
1380706,-c,235159,259402
1380707,+c,457055,235157
1380708,-c,235157,457055
1380709,+c,258935,235101
1380710,-c,235101,258935
1380713,+c,378440,235195
1380714,-c,235195,378440
1380715,+c,464661,235194
1380716,-c,235194,464661
1380717,+c,248309,235176
1380718,-c,235176,248309
1380719,+c,462532,235187
1380720,-c,235187,462532
1380721,+c,462937,235188
1380722,-c,235188,462937
1380723,+c,463591,235189
1380724,-c,235189,463591
1380725,+c,235207,235208
1380726,-c,235208,235207
1380727,+c,235207,235209
1380728,-c,235209,235207
1380729,+c,235207,235210
1380730,-c,235210,235207
1380731,+c,235202,235213
1380732,-c,235213,235202
1380733,+c,464292,235180
1380734,-c,235180,464292
1380735,+c,233584,233585
1380736,-c,233585,233584
1380737,+c,233584,233586
1380738,-c,233586,233584
1380739,+c,233584,233587
1380740,-c,233587,233584
1380741,+c,233584,233588
1380742,-c,233588,233584
1380743,+c,233584,233589
1380744,-c,233589,233584
1380745,+c,466111,233589
1380746,-c,233589,466111
1380747,+c,233371,233372
1380748,-c,233372,233371
1380749,+c,233373,233374
1380750,-c,233374,233373
1380751,+c,233373,233375
1380752,-c,233375,233373
1380753,+c,257019,233509
1380754,-c,233509,257019
1380755,+c,300505,233545
1380756,-c,233545,300505
1380757,+c,461536,233527
1380758,-c,233527,461536
1380759,+c,234413,233505
1380760,-c,233505,234413
1380761,+c,456859,233504
1380762,-c,233504,456859
1380763,+c,460502,233516
1380764,-c,233516,460502
1380765,+c,460502,233517
1380766,-c,233517,460502
1380767,+c,462574,233532
1380768,-c,233532,462574
1380769,+c,263867,233510
1380770,-c,233510,263867
1380771,+c,233355,233356
1380772,-c,233356,233355
1380773,+c,233363,233364
1380774,-c,233364,233363
1380775,+c,378440,233471
1380776,-c,233471,378440
1380777,+c,464661,233470
